PLAYER,STAT,FD_LINE,PROJECTION,EDGE,BET,ODDS
Payton Pritchard,PRA,31.5,21.8,-9.7,UNDER,-122
Pascal Siakam,PRA,30.5,39.3,8.8,OVER,-102
Payton Pritchard,PTS,19.5,11.2,-8.3,UNDER,-125
Jaylen Wells,PRA,20.5,12.7,-7.8,UNDER,-113
Cam Thomas,PTS,15.5,8.2,-7.3,UNDER,-130
Sam Hauser,PTS,11.5,18.2,6.7,OVER,-115
Jerami Grant,PTS,14.5,21.1,6.6,OVER,-132
Russell Westbrook,PTS,15.5,22.0,6.5,OVER,-128
Donovan Mitchell,PRA,40.5,34.0,-6.5,UNDER,-122
Giannis Antetokounmpo,PRA,46.5,40.2,-6.3,UNDER,-108
Donovan Mitchell,PTS,28.5,22.3,-6.2,UNDER,100
Duncan Robinson,PTS,9.5,15.5,6.0,OVER,100
Pascal Siakam,PTS,20.5,26.4,5.9,OVER,-115
Cam Spencer,PRA,26.5,20.7,-5.8,UNDER,-104
Duncan Robinson,PRA,14.5,20.1,5.6,OVER,-113
Domantas Sabonis,PRA,23.5,29.0,5.5,OVER,-104
Giannis Antetokounmpo,PTS,29.5,24.1,-5.4,UNDER,-110
Jaylen Wells,PTS,14.5,9.3,-5.2,UNDER,-115
Cam Thomas,PRA,19.5,14.4,-5.1,UNDER,-102
Immanuel Quickley,PRA,27.5,32.2,4.7,OVER,-122
Zion Williamson,PRA,30.5,26.0,-4.5,UNDER,-113
Kenrich Williams,PTS,9.5,5.0,-4.5,UNDER,-118
Ryan Rollins,PRA,25.5,21.1,-4.4,UNDER,-122
Scottie Barnes,PTS,19.5,23.9,4.4,OVER,-108
Scottie Barnes,PRA,34.5,38.8,4.3,OVER,-112
Sandro Mamukelashvili,PRA,20.5,24.7,4.2,OVER,-114
Russell Westbrook,PRA,27.5,31.6,4.1,OVER,-122
Cam Spencer,PTS,14.5,10.5,-4.0,UNDER,-106
Grayson Allen,PRA,20.5,24.5,4.0,OVER,-115
Andrew Nembhard,PRA,24.5,28.5,4.0,OVER,-115
Ryan Rollins,PTS,14.5,10.6,-3.9,UNDER,100
Cason Wallace,PRA,15.5,11.7,-3.8,UNDER,-118
Immanuel Quickley,PTS,17.5,21.2,3.7,OVER,-138
Jarrett Allen,PRA,25.5,21.8,-3.7,UNDER,-108
Chet Holmgren,PRA,30.5,26.8,-3.7,UNDER,-118
Aaron Gordon,PTS,18.5,14.8,-3.7,UNDER,-125
Collin Gillespie,PTS,10.5,14.1,3.6,OVER,-106
Aaron Nesmith,PTS,12.5,8.9,-3.6,UNDER,-104
Kentavious Caldwell-Pope,PTS,9.5,5.9,-3.6,UNDER,-130
Isaiah Joe,PTS,11.5,7.9,-3.6,UNDER,-104
Grayson Allen,PTS,13.5,17.1,3.6,OVER,100
Sandro Mamukelashvili,PTS,11.5,15.1,3.6,OVER,-118
Cade Cunningham,PRA,37.5,33.9,-3.6,UNDER,-108
Zion Williamson,PTS,20.5,17.0,-3.5,UNDER,-102
Collin Gillespie,PRA,19.5,22.9,3.4,OVER,-128
