PLAYER_NAME,PLAYER_ID,GAME_DATE,MATCHUP,MIN,PTS,REB,AST,STL,BLK,TOV,FG3M,FGA,FG_PCT,FTA,PLUS_MINUS,WL
Kevin Durant,201142,2026-01-22,HOU @ PHI,44,36,7,3,0,1,8,5,21,0.619,6,-15,L
Kelly Oubre Jr.,1626162,2026-01-22,PHI vs. HOU,41,26,4,3,0,1,1,4,14,0.714,3,9,W
Jrue Holiday,201950,2026-01-22,POR vs. MIA,19,15,2,7,0,0,0,3,13,0.462,0,14,W
Julian Champagnie,1630577,2026-01-22,SAS @ UTA,34,17,3,3,1,1,1,5,10,0.6,0,25,W
Julius Randle,203944,2026-01-22,MIN vs. CHI,31,30,7,6,0,0,5,3,17,0.588,7,-8,L
Justin Champagnie,1630551,2026-01-22,WAS vs. DEN,18,3,2,3,1,0,0,1,2,0.5,0,2,L
Tim Hardaway Jr.,203501,2026-01-22,DEN @ WAS,20,2,3,0,1,0,2,0,8,0.125,0,-8,W
Jusuf Nurkić,203994,2026-01-22,UTA vs. SAS,35,17,11,14,1,1,1,1,19,0.368,3,-21,L
Tidjane Salaün,1642275,2026-01-22,CHA @ ORL,18,13,5,0,0,0,0,3,7,0.714,0,-1,W
Kasparas Jakučionis,1642857,2026-01-22,MIA @ POR,11,3,0,3,0,0,0,1,2,0.5,0,-18,L
Kawhi Leonard,202695,2026-01-22,LAC vs. LAL,26,24,5,4,1,0,2,3,19,0.474,3,1,W
Keldon Johnson,1629640,2026-01-22,SAS @ UTA,31,21,1,5,1,1,0,1,19,0.474,2,9,W
Kelly Olynyk,203482,2026-01-22,SAS @ UTA,8,2,1,0,1,0,2,0,4,0.25,0,-7,W
Antonio Reeves,1641810,2026-01-22,CHA @ ORL,3,0,0,0,0,0,0,0,0,,0,-2,W
Jamal Cain,1631288,2026-01-22,ORL vs. CHA,4,0,0,0,0,0,0,0,1,0.0,0,0,L
Ace Bailey,1642846,2026-01-22,UTA vs. SAS,32,25,6,2,0,0,2,2,16,0.688,1,-21,L
Anthony Gill,1630264,2026-01-22,WAS vs. DEN,12,2,4,0,0,1,0,0,1,1.0,0,1,L
Kevin Huerter,1628989,2026-01-22,CHI @ MIN,8,3,0,2,1,0,0,1,4,0.25,0,5,W
Kevin Love,201567,2026-01-22,UTA vs. SAS,13,5,4,1,0,1,1,1,3,0.667,0,4,L
Keyonte George,1641718,2026-01-22,UTA vs. SAS,35,23,4,5,2,1,1,4,15,0.467,5,-2,L
Khris Middleton,203114,2026-01-22,WAS vs. DEN,28,9,2,0,1,0,1,1,11,0.273,2,-18,L
Klay Thompson,202691,2026-01-22,DAL vs. GSW,23,6,4,0,1,0,3,2,6,0.333,0,-12,W
Anthony Edwards,1630162,2026-01-22,MIN vs. CHI,35,20,6,3,0,1,1,1,25,0.36,1,1,L
Kobe Sanders,1642920,2026-01-22,LAC vs. LAL,24,11,4,1,1,0,2,3,6,0.667,0,3,W
Tari Eason,1631106,2026-01-22,HOU @ PHI,28,13,9,2,4,0,1,3,12,0.417,1,-18,L
Kon Knueppel,1642851,2026-01-22,CHA @ ORL,28,13,10,4,1,0,2,1,11,0.364,4,16,W
Josh Okogie,1629006,2026-01-22,HOU @ PHI,22,8,2,2,1,1,1,2,4,0.75,0,6,L
Josh Green,1630182,2026-01-22,CHA @ ORL,16,6,0,0,1,1,0,2,4,0.5,0,12,W
Josh Giddey,1630581,2026-01-22,CHI @ MIN,26,21,6,5,2,0,2,0,13,0.538,9,2,W
Jordan Miller,1641757,2026-01-22,LAC vs. LAL,25,14,3,1,1,0,3,1,5,0.6,8,-8,W
Tristan da Silva,1641783,2026-01-22,ORL vs. CHA,19,3,3,1,1,0,2,1,5,0.2,0,-19,L
James Harden,201935,2026-01-22,LAC vs. LAL,38,18,7,10,2,0,7,2,21,0.286,4,13,W
Jamir Watkins,1642364,2026-01-22,WAS vs. DEN,18,3,5,1,1,1,1,0,2,0.5,2,2,L
Jarred Vanderbilt,1629020,2026-01-22,LAL @ LAC,22,7,1,2,4,1,0,1,5,0.6,0,16,L
Jase Richardson,1642859,2026-01-22,ORL vs. CHA,23,2,2,0,0,0,1,0,5,0.2,0,-15,L
Trendon Watford,1630570,2026-01-22,PHI vs. HOU,11,4,3,3,0,1,0,0,3,0.667,0,-6,W
Jaxson Hayes,1629637,2026-01-22,LAL @ LAC,17,6,2,0,0,1,1,0,4,0.75,0,-4,L
Jaylen Clark,1641740,2026-01-22,MIN vs. CHI,12,2,1,1,0,0,0,0,3,0.333,0,-7,L
Jerami Grant,203924,2026-01-22,POR vs. MIA,23,12,0,0,2,1,3,1,11,0.364,3,-2,W
Jeremiah Robinson-Earl,1630526,2026-01-22,DAL vs. GSW,3,0,0,0,0,0,0,0,1,0.0,0,-2,W
