PLAYER,PROJ_MIN,PROJ_PTS,PROJ_REB,PROJ_AST,PROJ_3PM,PROJ_PRA,PROJ_STL,PROJ_BLK,L3_PTS,L5_PTS,L10_PTS,PTS_CONSISTENCY,games_played
Shai Gilgeous-Alexander,34.4,33.1,4.0,5.9,1.0,38.3,0.7,0.5,37.0,36.0,32.9,0.27,8
Luka Dončić,36.6,30.7,8.2,8.2,3.1,42.0,0.7,0.5,34.3,33.4,33.7,0.19,7
Donovan Mitchell,36.3,26.1,4.5,7.0,2.7,33.4,0.7,0.5,31.0,25.0,25.9,0.34,7
Keyonte George,35.8,25.5,2.1,4.4,2.9,28.4,0.7,0.5,28.3,28.8,27.2,0.3,8
Kevin Durant,39.8,25.2,5.4,4.6,3.2,31.4,0.8,0.6,28.7,28.6,26.6,0.31,8
Pascal Siakam,34.8,24.1,7.5,4.5,2.6,32.1,0.7,0.5,26.3,26.0,25.3,0.15,7
Shaedon Sharpe,32.3,22.4,6.1,2.5,2.5,27.6,0.6,0.5,25.0,24.8,23.7,0.13,7
James Harden,35.9,22.1,5.6,8.0,2.3,31.7,0.7,0.5,20.3,25.6,26.0,0.27,7
Stephen Curry,29.2,22.1,2.8,4.6,3.5,26.3,0.6,0.4,26.7,22.6,22.2,0.45,8
Saddiq Bey,30.8,21.7,4.8,2.6,2.5,26.0,0.6,0.5,26.7,22.2,20.0,0.42,7
Bam Adebayo,31.3,21.2,9.6,2.1,2.1,29.3,0.6,0.5,26.7,21.8,21.8,0.46,9
Julius Randle,35.9,20.9,5.2,4.4,1.3,27.1,0.7,0.5,20.0,23.2,22.9,0.44,7
Trey Murphy III,36.4,20.7,4.1,4.2,2.5,25.8,0.7,0.5,22.0,21.8,24.4,0.28,8
Jalen Johnson,37.2,20.1,11.7,6.6,1.3,34.2,0.7,0.6,23.3,22.0,19.8,0.4,8
Naji Marshall,31.7,20.0,7.0,4.6,0.9,28.1,0.6,0.5,23.3,21.6,22.0,0.2,7
Tyrese Maxey,37.8,19.9,2.6,7.3,1.5,26.5,0.8,0.6,21.3,22.6,24.4,0.43,9
Victor Wembanyama,29.7,19.9,11.2,1.5,2.4,29.0,0.6,0.4,18.7,25.6,24.5,0.36,8
Immanuel Quickley,33.3,19.1,6.7,5.5,2.8,27.8,0.7,0.5,20.3,22.0,21.1,0.44,7
LeBron James,34.1,18.7,6.6,6.0,1.0,27.9,0.7,0.5,19.7,20.6,23.1,0.21,8
Peyton Watson,35.0,18.7,5.2,1.9,2.4,23.0,0.7,0.5,21.3,20.6,21.9,0.38,7
Alex Sarr,31.0,18.3,5.5,1.9,0.7,22.9,0.6,0.5,22.3,20.4,17.9,0.43,7
Brandon Ingram,35.4,17.7,4.9,3.8,1.5,23.6,0.7,0.5,18.7,19.4,20.4,0.24,8
